Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,14312.40039,14349.2002,14218.5,14322.90039,14322.90039,171356600
2019-01-01,14312.40039,14349.2002,14218.5,14322.90039,14322.90039,171356600
2019-01-02,14163.90039,14400.29981,14112.79981,14347.2002,14347.2002,270319800
2019-01-03,14294.09961,14297.90039,14155.29981,14212.79981,14212.79981,211587200
2019-01-04,14351.59961,14438.59961,14314.79981,14426.59961,14426.59961,231237200
2019-01-05,14351.59961,14438.59961,14314.79981,14426.59961,14426.59961,231237200
2019-01-06,14351.59961,14438.59961,14314.79981,14426.59961,14426.59961,231237200
2019-01-07,14471.0,14515.09961,14383.09961,14504.09961,14504.09961,257832000
2019-01-08,14610.5,14645.59961,14533.90039,14605.2002,14605.2002,260100900
2019-01-09,14668.5,14811.09961,14644.09961,14804.7002,14804.7002,269093100
2019-01-10,14770.7002,14921.09961,14702.29981,14903.5,14903.5,262984000
2019-01-11,14874.2002,14956.2002,14855.2002,14939.2002,14939.2002,249299500
2019-01-12,14874.2002,14956.2002,14855.2002,14939.2002,14939.2002,249299500
2019-01-13,14874.2002,14956.2002,14855.2002,14939.2002,14939.2002,249299500
2019-01-14,14881.0,14997.90039,14881.0,14975.5,14975.5,228994500
2019-01-15,15002.0,15079.79981,14966.5,15046.29981,15046.29981,241300600
2019-01-16,15072.29981,15118.29981,15057.0,15111.29981,15111.29981,248816800
2019-01-17,15077.09961,15238.09961,15066.5,15211.2002,15211.2002,257298500
2019-01-18,15295.0,15325.59961,15258.90039,15303.79981,15303.79981,293702200
2019-01-19,15295.0,15325.59961,15258.90039,15303.79981,15303.79981,293702200
2019-01-20,15295.0,15325.59961,15258.90039,15303.79981,15303.79981,293702200
2019-01-21,15300.40039,15354.2002,15263.0,15354.2002,15354.2002,92562500
2019-01-22,15276.29981,15285.2002,15160.5,15233.79981,15233.79981,228363300
2019-01-23,15275.7002,15293.29981,15141.5,15208.29981,15208.29981,210174500
2019-01-24,15201.5,15281.29981,15194.29981,15280.79981,15280.79981,206075300
2019-01-25,15350.2002,15388.0,15298.40039,15366.09961,15366.09961,216014400
2019-01-26,15350.2002,15388.0,15298.40039,15366.09961,15366.09961,216014400
2019-01-27,15350.2002,15388.0,15298.40039,15366.09961,15366.09961,216014400
2019-01-28,15289.09961,15378.59961,15276.90039,15378.59961,15378.59961,226010300
2019-01-29,15414.7002,15497.40039,15413.90039,15463.09961,15463.09961,233364800
2019-01-30,15493.40039,15520.90039,15418.59961,15484.59961,15484.59961,233825500
2019-01-31,15507.40039,15564.59961,15486.5,15540.59961,15540.59961,286422200
2019-02-01,15562.29981,15569.0,15483.40039,15506.29981,15506.29981,224777300
2019-02-02,15562.29981,15569.0,15483.40039,15506.29981,15506.29981,224777300
2019-02-03,15562.29981,15569.0,15483.40039,15506.29981,15506.29981,224777300
2019-02-04,15527.40039,15606.29981,15513.7002,15602.29981,15602.29981,245284400
2019-02-05,15631.79981,15702.7002,15627.79981,15702.7002,15702.7002,217732500
2019-02-06,15679.90039,15745.40039,15668.59961,15712.29981,15712.29981,218136700
2019-02-07,15697.59961,15726.5,15588.7002,15703.40039,15703.40039,253785300
2019-02-08,15648.29981,15659.79981,15567.79981,15633.29981,15633.29981,211877800
2019-02-09,15648.29981,15659.79981,15567.79981,15633.29981,15633.29981,211877800
2019-02-10,15648.29981,15659.79981,15567.79981,15633.29981,15633.29981,211877800
2019-02-11,15660.5,15660.5,15545.90039,15568.90039,15568.90039,193012400
2019-02-12,15613.09961,15654.79981,15583.40039,15642.09961,15642.09961,248558800
2019-02-13,15679.2002,15689.7002,15623.7002,15626.7002,15626.7002,236823500
2019-02-14,15622.29981,15733.09961,15608.2002,15696.0,15696.0,305833800
2019-02-15,15770.0,15866.59961,15763.40039,15838.2002,15838.2002,255717300
2019-02-16,15770.0,15866.59961,15763.40039,15838.2002,15838.2002,255717300
2019-02-17,15770.0,15866.59961,15763.40039,15838.2002,15838.2002,255717300
2019-02-18,15770.0,15866.59961,15763.40039,15838.2002,15838.2002,255717300
2019-02-19,15856.90039,15953.90039,15831.90039,15937.40039,15937.40039,336230800
2019-02-20,15942.90039,16036.90039,15942.90039,16031.2002,16031.2002,268328500
2019-02-21,16001.90039,16030.7002,15979.7002,16000.90039,16000.90039,298529700
2019-02-22,16038.40039,16071.0,15997.40039,16013.0,16013.0,222858800
2019-02-23,16038.40039,16071.0,15997.40039,16013.0,16013.0,222858800
2019-02-24,16038.40039,16071.0,15997.40039,16013.0,16013.0,222858800
2019-02-25,16051.0,16099.90039,16051.0,16057.0,16057.0,219234400
2019-02-26,16051.0,16115.79981,16051.0,16067.90039,16067.90039,266318500
2019-02-27,16043.79981,16077.59961,15990.29981,16074.29981,16074.29981,226354300
2019-02-28,16054.79981,16067.0,15975.09961,15999.0,15999.0,304602900
2019-03-01,16086.29981,16122.09961,16058.09961,16068.29981,16068.29981,243003500
2019-03-02,16086.29981,16122.09961,16058.09961,16068.29981,16068.29981,243003500
2019-03-03,16086.29981,16122.09961,16058.09961,16068.29981,16068.29981,243003500
2019-03-04,16088.59961,16093.5,15955.0,16038.09961,16038.09961,286358000
2019-03-05,16077.29981,16105.29981,16068.59961,16086.5,16086.5,256504000
2019-03-06,16098.7002,16145.79981,16077.59961,16092.09961,16092.09961,272531800
